id,hour,app,app_cat,times
F5BEB8B3F7AA183926D47DB97ACC417A,16,百度搜索,实用工具,1
C96D3B6DFE4325473B45A5E618FE1016,13,Keep,健康医疗,1
F88BABFE70BD30D2683DD4E5B2E1749E,10,开心消消乐,游戏服务,1
EE8C9E91BC453DB5D3020496820139AB,11,开心消消乐,游戏服务,1
F26252AF5C2FD8B1FE61AE73965563C5,9,QQ,通讯聊天,2
F516D31C4409DD7795515287CE1AC968,9,QQ,通讯聊天,13
CDC92984A5450E4FA6127A8B4B0B2837,18,新浪微博,社交网络,4
FBC680152AE2B27827EF4DD7ACA5A6B2,16,今日头条,综合资讯,18
D1FF0E2C7DAFC668582B27E95051DCB1,9,百度搜索,实用工具,2
F54DF5C0E2021B239DC6BE081FC91D97,6,微信,通讯聊天,1
FB5ECC0AE558A30C0755A170370F8EE8,9,微信,通讯聊天,26
E4DEAF3C3909B5A07A7F77B12FD660BC,13,腾讯视频,视频服务,10
B4A84AF0F84D8F550825E3E0CE5400F8,9,微信,通讯聊天,14
DB62043F7EA3E9C632E714B38B6465C4,9,百度搜索,实用工具,10
F6E56A656FED9F9139C7EA8D3D3802D9,22,QQ,通讯聊天,2
D7543A33AB5EA56ACF2740C36CC39284,7,QQ,通讯聊天,1
BFCE381FE5A0D9643159EBEBC7305037,22,支付宝,金融理财,14
F59E4677157112F52AE4C59A30CF37E6,15,微信,通讯聊天,6
D3D9A4DFE283F278117AA5F9CB4B1ED1,22,腾讯视频,视频服务,7
D1B065E864A24A7E07EDC28E8A8712D4,11,大众点评网,美食外卖,282
F6DE617326CB2F8AE3EE204156543A40,22,酷狗音乐,音乐音频,3
EAE06D96817426ECDE94880C22F3D75B,12,大众点评网,美食外卖,4
D9001229DB3C3A321DCD05762154CA5C,10,微信,通讯聊天,28
F2EB1A54FC011CB6833532A3A08244F8,21,爱奇艺,视频服务,30
C401858AC0BD532BD8DB807A190D27E7,11,微信,通讯聊天,3
F2EB1A54FC011CB6833532A3A08244F8,9,今日头条,综合资讯,7
D4C69812C410FB3E5184F6E9250FD96A,15,微信,通讯聊天,4
F447A10F0086167007357D39B7C55373,20,百度搜索,实用工具,17
E4D5A6DFC1DECA3051722358D89B2A6C,21,搜狗输入法,实用工具,1
CFE1E6CB5F443B23EB0EB8EAEBEF01F5,9,微信,通讯聊天,38
BED4D07F94A548B48E489106B8DB1A1C,16,百度地图,便捷生活,2
F71999682DF7056918150190801DFCA0,17,京东商城,电子商务,5
C490E14BE60DAB12DD6551300C592F05,18,微信,通讯聊天,35
E983449DC1BDD1DF98208C669EC9A6C1,1,微信,通讯聊天,15
F2FA431725418537CBE42E2E138F0971,9,开心消消乐,游戏服务,1
E60CC89F55FF73118F5E5684971D3C9C,12,微信,通讯聊天,1
E1EEB5D201F3A593C27A43B7F57E554C,6,开心消消乐,游戏服务,7
D7B94A364F56DED9A96D29B48A646B05,23,爱奇艺,视频服务,1
C469C26E51FAE9EC9A6C43C49ABEE1D3,7,微信,通讯聊天,26
D691B88869A229BFC990AF9D3FD2EE67,10,百度搜索,实用工具,6
BA029BD0C91DA47DB4065F4836F34AD4,15,微信,通讯聊天,9
F4BCEE688FD9F8F256B424B4ADD2DA25,8,微信,通讯聊天,13
C0E46EC35F35BAA838104D55AF7A2903,18,腾讯视频,视频服务,11
F52F9CBC88F03F5E76B997C6FD5FA404,21,一号店,电子商务,3
E99BF2B6835BDE95069112F3ECC8E523,23,百度搜索,实用工具,7
BBF5A213F9D9910F454CF66F5A8981DE,12,微信,通讯聊天,43
D9666A9842FACA10283ED0CCE567E7BC,0,微信,通讯聊天,4
E6AB2E0F6589E29AA63B2DCFDC226B77,16,新浪微博,社交网络,6
FC89D3E7CFD0DE6E4465681F37519E57,23,大众点评网,美食外卖,99
B7E208BAD804EBCA6406F55F2E5EDA91,2,微信,通讯聊天,4
CF864FCEB3786E7B3791810CA5376BE3,0,支付宝,金融理财,2
CFD9FE413235DFCB5E61A0BF2B977646,15,微信,通讯聊天,55
E20A9030DA2F279F2E485B07FBD64E93,20,微信,通讯聊天,6
F43850BC837BFC516012FB2FF7FAC0F1,7,墨迹天气,便捷生活,1
C522F3B15B229F28C1BD64DABC281F4E,16,百度地图,便捷生活,2
